Nome,Classe,Bolsa / Fonte,Tipo de Ativo,"Ativo /
Cancelado",Código,"Setor NAICS
ult disponiv","Setor Agro
Bovespa","AtvCir
 < Dez 2020
 Em moeda orig
 em milhares
 consolid:sim*","AtvCir
 < Dez 2021
 Em moeda orig
 em milhares
 consolid:sim*","AtvCir
 < Dez 2022
 Em moeda orig
 em milhares
 consolid:sim*","AtvCir
 < Dez 2023
 Em moeda orig
 em milhares
 consolid:sim*","AtvCir
 < Dez 2024
 Em moeda orig
 em milhares
 consolid:sim*","AtvNaoCir
 < Dez 2020
 Em moeda orig
 em milhares
 consolid:sim*","AtvNaoCir
 < Dez 2021
 Em moeda orig
 em milhares
 consolid:sim*","AtvNaoCir
 < Dez 2022
 Em moeda orig
 em milhares
 consolid:sim*","AtvNaoCir
 < Dez 2023
 Em moeda orig
 em milhares
 consolid:sim*","AtvNaoCir
 < Dez 2024
 Em moeda orig
 em milhares
 consolid:sim*","PasCir
 < Dez 2020
 Em moeda orig
 em milhares
 consolid:sim*","PasCir
 < Set 2021
 Em moeda orig
 em milhares
 consolid:sim*","PasCir
 < Dez 2022
 Em moeda orig
 em milhares
 consolid:sim*","PasCir
 < Dez 2023
 Em moeda orig
 em milhares
 consolid:sim*","PasCir
 < Dez 2024
 Em moeda orig
 em milhares
 consolid:sim*","PasNoCir
 < Dez 2020
 Em moeda orig
 em milhares
 consolid:sim*","PasNoCir
 < Dez 2021
 Em moeda orig
 em milhares
 consolid:sim*","PasNoCir
 < Dez 2022
 Em moeda orig
 em milhares
 consolid:sim*","PasNoCir
 < Dez 2023
 Em moeda orig
 em milhares
 consolid:sim*","PasNoCir
 < Dez 2024
 Em moeda orig
 em milhares
 consolid:sim*","Patrim Liq
 < Dez 2020
 Em moeda orig
 em milhares
 consolid:sim*","Patrim Liq
 < Dez 2021
 Em moeda orig
 em milhares
 consolid:sim*","Patrim Liq
 < Dez 2022
 Em moeda orig
 em milhares
 consolid:sim*","Patrim Liq
 < Dez 2023
 Em moeda orig
 em milhares
 consolid:sim*","Patrim Liq
 < Dez 2024
 Em moeda orig
 em milhares
 consolid:sim*","LPA
 < Dez 2020
 Em moeda orig
 de 12 meses
 consolid:sim*
 ajust p/ prov","LPA
 < Dez 2021
 Em moeda orig
 de 12 meses
 consolid:sim*
 ajust p/ prov","LPA
 < Dez 2022
 Em moeda orig
 de 12 meses
 consolid:sim*
 ajust p/ prov","LPA
 < Dez 2023
 Em moeda orig
 de 12 meses
 consolid:sim*
 ajust p/ prov","LPA
 < Dez 2024
 Em moeda orig
 de 12 meses
 consolid:sim*
 ajust p/ prov","Receita
 < Dez 2020
 Em moeda orig
 em milhares
 no exercício
 consolid:sim*","Receita
 < Dez 2021
 Em moeda orig
 em milhares
 no exercício
 consolid:sim*","Receita
 < Dez 2022
 Em moeda orig
 em milhares
 no exercício
 consolid:sim*","Receita
 < Dez 2023
 Em moeda orig
 em milhares
 no exercício
 consolid:sim*","Receita
 < Dez 2024
 Em moeda orig
 em milhares
 no exercício
 consolid:sim*","Lucro Liquido
 < Dez 2020
 Em moeda orig
 em milhares
 no exercício
 consolid:sim*","Lucro Liquido
 < Dez 2021
 Em moeda orig
 em milhares
 no exercício
 consolid:sim*","Lucro Liquido
 < Dez 2022
 Em moeda orig
 em milhares
 no exercício
 consolid:sim*","Lucro Liquido
 < Dez 2023
 Em moeda orig
 em milhares
 no exercício
 consolid:sim*","Lucro Liquido
 < Dez 2024
 Em moeda orig
 em milhares
 no exercício
 consolid:sim*","DivBr/Ativo
 < Dez 2020
 consolid:sim*","DivBr/Ativo
 < Dez 2021
 consolid:sim*","DivBr/Ativo
 < Dez 2022
 consolid:sim*","DivBr/Ativo
 < Dez 2023
 consolid:sim*","DivBr/Ativo
 < Dez 2024
 consolid:sim*","LiqCor
 < Dez 2020
 consolid:sim*","LiqCor
 < Dez 2021
 consolid:sim*","LiqCor
 < Dez 2022
 consolid:sim*","LiqCor
 < Dez 2023
 consolid:sim*","LiqCor
 < Dez 2024
 consolid:sim*","LiqGer
 < Dez 2020
 consolid:sim*","LiqGer
 < Dez 2021
 consolid:sim*","LiqGer
 < Dez 2022
 consolid:sim*","LiqGer
 < Dez 2023
 consolid:sim*","LiqGer
 < Dez 2024
 consolid:sim*","RentAt
 < Dez 2020
 de 12 meses
 consolid:sim*","RentAt
 < Dez 2021
 de 12 meses
 consolid:sim*","RentAt
 < Dez 2022
 de 12 meses
 consolid:sim*","RentAt
 < Dez 2023
 de 12 meses
 consolid:sim*","RentAt
 < Dez 2024
 de 12 meses
 consolid:sim*","RenPat(med)
 < Dez 2020
 Em moeda orig
 de 12 meses
 consolid:sim*","RenPat(med)
 < Dez 2021
 Em moeda orig
 de 12 meses
 consolid:sim*","RenPat(med)
 < Dez 2022
 Em moeda orig
 de 12 meses
 consolid:sim*","RenPat(med)
 < Dez 2023
 Em moeda orig
 de 12 meses
 consolid:sim*","RenPat(med)
 < Dez 2024
 Em moeda orig
 de 12 meses
 consolid:sim*","Mrg EBIT
 < Dez 2020
 de 12 meses
 consolid:sim*","Mrg EBIT
 < Dez 2021
 de 12 meses
 consolid:sim*","Mrg EBIT
 < Dez 2022
 de 12 meses
 consolid:sim*","Mrg EBIT
 < Dez 2023
 de 12 meses
 consolid:sim*","Mrg EBIT
 < Dez 2024
 de 12 meses
 consolid:sim*","Margem Liquida
 < Dez 2020
 de 12 meses
 consolid:sim*","Margem Liquida
 < Dez 2021
 de 12 meses
 consolid:sim*","Margem Liquida
 < Dez 2022
 de 12 meses
 consolid:sim*","Margem Liquida
 < Dez 2023
 de 12 meses
 consolid:sim*","Margem Liquida
 < Dez 2024
 de 12 meses
 consolid:sim*","Ativo Tot
 < Dez 2020
 Em moeda orig
 em milhares
 consolid:sim*","Ativo Tot
 < Dez 2021
 Em moeda orig
 em milhares
 consolid:sim*","Ativo Tot
 < Dez 2022
 Em moeda orig
 em milhares
 consolid:sim*","Ativo Tot
 < Dez 2023
 Em moeda orig
 em milhares
 consolid:sim*","Ativo Tot
 < Dez 2024
 Em moeda orig
 em milhares
 consolid:sim*","CxOper
 < Dez 2020
 Em moeda orig
 em milhares
 de 12 meses
 consolid:sim*","CxOper
 < Dez 2021
 Em moeda orig
 em milhares
 de 12 meses
 consolid:sim*","CxOper
 < Dez 2022
 Em moeda orig
 em milhares
 de 12 meses
 consolid:sim*","CxOper
 < Dez 2023
 Em moeda orig
 em milhares
 de 12 meses
 consolid:sim*","CxOper
 < Dez 2024
 Em moeda orig
 em milhares
 de 12 meses
 consolid:sim*","CxInvest
 < Dez 2020
 Em moeda orig
 em milhares
 de 12 meses
 consolid:sim*","CxInvest
 < Dez 2021
 Em moeda orig
 em milhares
 de 12 meses
 consolid:sim*","CxInvest
 < Dez 2022
 Em moeda orig
 em milhares
 de 12 meses
 consolid:sim*","CxInvest
 < Dez 2023
 Em moeda orig
 em milhares
 de 12 meses
 consolid:sim*","CxInvest
 < Dez 2024
 Em moeda orig
 em milhares
 de 12 meses
 consolid:sim*","CxFinan
 < Dez 2020
 Em moeda orig
 em milhares
 de 12 meses
 consolid:sim*","CxFinan
 < Dez 2021
 Em moeda orig
 em milhares
 de 12 meses
 consolid:sim*","CxFinan
 < Dez 2022
 Em moeda orig
 em milhares
 de 12 meses
 consolid:sim*","CxFinan
 < Dez 2023
 Em moeda orig
 em milhares
 de 12 meses
 consolid:sim*","CxFinan
 < Dez 2024
 Em moeda orig
 em milhares
 de 12 meses
 consolid:sim*","Valor Mercado
da empresa
31Dez20
Em moeda orig
em milhares","Valor Mercado
da empresa
31Dez21
Em moeda orig
em milhares","Valor Mercado
da empresa
31Dez22
Em moeda orig
em milhares","Valor Mercado
da empresa
31Dez23
Em moeda orig
em milhares","Valor Mercado
da empresa
31Dez24
Em moeda orig
em milhares"
3tentos,ON,Bovespa,Ação,ativo,TTEN3,Atividades auxiliares à agricultura,Sim,1.770.014,3.354.305,4.257.219,4.422.008,5.776.390,551.359,1.041.296,1.824.770,2.461.781,3.113.033,1.365.036,2.044.177,2.739.186,2.784.746,3.666.344,244.205,328.086,524.248,747.152,1.177.361,712.132,2.236.240,2.816.976,3.347.737,4.037.714,"0,6156575","0,9650311521","1,152462679","1,155222012","1,523263451",3.112.439,5.339.317,6.885.839,8.998.985,12.825.771,246.263,430.306,571.437,575.287,758.623,"27,6","18,2",18,"18,5","23,3","1,3","1,8","1,6","1,6","1,6","1,2","1,7","1,4","1,4","1,3","10,6","9,8","9,4","8,3","8,5","44,3","29,2",-,"18,6","20,4","10,5","6,6","7,8","4,9","9,7","7,9","8,1","8,3","6,4","5,9",2.321.373,4.395.601,6.081.989,6.883.789,8.889.423,79.979,105.523,257.697,863.505,726.212,-73.998,-1.123.540,-39.948,-459.799,-523.296,82.741,1.116.915,154.975,-99.537,465.459,-,4.807.768,4.632.208,5.997.883,6.845.098
524 Particip,ON,Bovespa,Ação,ativo,QVQP3,"Empresa de eletricidade, gás e água",-,150,112,117,138,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,112,117,138,108,"-0,0005614052376","-0,0003429842395","-0,0001071003069","-0,00002990480433","-0,00001590832001",0,0,0,0,0,-126,-128,-115,-99,-130,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-84,"-114,3","-98,3","-71,7","-120,4","-122,9","-97,7","-100,4","-77,6","-105,7",-,-,-,-,-,-,-,-,-,-,150,112,117,138,108,-116,-127,-114,-101,-130,0,0,0,0,0,221,90,120,120,100,-,-,-,-,-
Abc Brasil,PN,Bovespa,Ação,ativo,ABCB4,Bancos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.288.263,4.669.463,5.205.386,5.871.729,6.387.347,"1,501031762","2,592659822","3,629844173","3,81737756","4,088423012",-,-,-,-,-,322.076,572.173,800.234,851.582,971.274,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"0,7","1,2","1,4","1,4","1,3","7,7","12,8","16,3","15,6","16,1",-,-,-,-,-,"5,4","13,8","19,2","15,4","9,6",43.328.841,49.565.970,57.408.844,60.632.612,73.585.977,2.938.363,-4.459.173,3.539.676,-613.939,-149.424,-2.865,-44.250,-73.247,-62.337,-74.098,-697.725,-222.020,244.191,94.389,1.252.058,3.405.961,3.437.406,4.255.834,5.610.928,4.640.114
Aco Altona,ON,Bovespa,Ação,ativo,EALT3,Transformação de aço em produtos de aço,-,164.709,207.716,180.706,219.742,266.560,252.517,283.898,332.280,340.982,352.164,136.337,181.445,182.045,199.060,230.771,97.249,128.833,115.854,118.088,92.364,183.640,187.717,215.087,243.576,295.589,"1,121866667","1,613911111","1,644533333","2,191688889","2,957377778",251.771,386.550,492.141,495.479,564.238,25.242,36.313,37.002,49.313,66.541,"22,4","26,5","24,9","22,7","19,5","1,2","1,2",1,"1,1","1,2","0,9","0,8","0,7","0,8","0,9",6,"7,4","7,2","8,8","10,8","14,6","19,6","18,4","21,5","24,7","12,7","11,5","11,9","11,1","17,9",10,"9,4","7,5",10,"11,8",417.226,491.614,512.986,560.724,618.724,56.605,43.659,79.599,53.976,78.162,-33.787,-58.074,-70.244,-32.408,-37.037,-6.240,15.548,-19.440,-19.280,-43.120,190.118,218.288,173.175,214.508,303.623
Aco Altona,PN,Bovespa,Ação,ativo,EALT4,Transformação de aço em produtos de aço,-,164.709,207.716,180.706,219.742,266.560,252.517,283.898,332.280,340.982,352.164,136.337,181.445,182.045,199.060,230.771,97.249,128.833,115.854,118.088,92.364,183.640,187.717,215.087,243.576,295.589,"1,121866667","1,613911111","1,644533333","2,191688889","2,957377778",251.771,386.550,492.141,495.479,564.238,25.242,36.313,37.002,49.313,66.541,"22,4","26,5","24,9","22,7","19,5","1,2","1,2",1,"1,1","1,2","0,9","0,8","0,7","0,8","0,9",6,"7,4","7,2","8,8","10,8","14,6","19,6","18,4","21,5","24,7","12,7","11,5","11,9","11,1","17,9",10,"9,4","7,5",10,"11,8",417.226,491.614,512.986,560.724,618.724,56.605,43.659,79.599,53.976,78.162,-33.787,-58.074,-70.244,-32.408,-37.037,-6.240,15.548,-19.440,-19.280,-43.120,190.118,218.288,173.175,214.508,303.623
Aeris,ON,Bovespa,Ação,ativo,AERI3,"Indústria de motores, turbinas e transmissores de energia",-,1.667.824,1.986.036,2.597.564,2.724.116,1.062.544,702.805,1.102.143,1.177.393,1.290.365,1.305.070,942.379,569.989,1.332.523,1.695.579,2.069.726,461.998,1.379.054,1.557.566,1.180.644,91.011,966.252,999.592,884.868,1.138.258,206.877,"3,578749147","1,806121824","-2,431349267","-2,699261474","-15,25238424",2.208.702,2.486.150,2.468.884,2.831.915,1.516.484,113.199,69.193,-92.709,-106.567,-934.083,"48,2","47,2","48,1","42,2","65,8","1,8","2,8","1,9","1,6","0,5","1,2",1,1,1,"0,6","4,8","2,2","-2,5","-2,7","-39,5","19,9",7,"-9,8","-10,5","-138,9","9,3","8,4","8,6","9,3","-48,9","5,1","2,8","-3,8","-3,8","-61,6",2.370.629,3.088.179,3.774.957,4.014.481,2.367.614,-495.109,334.918,-13.299,-198.791,-460.059,-296.159,-394.388,-87.108,-65.896,-93.862,1.410.121,267.613,270.579,267.051,-167.074,7.662.135,4.999.048,845.004,1.102.014,350.005
Aesoperacoes,ON,Bovespa,Ação,ativo,AESO3,"Geração, transmissão e distribuição de energia elétrica",-,1.915,2.279.670,2.055.896,1.741.462,1.944.198,239,9.488.979,9.330.484,9.242.668,9.134.045,0,107,983.229,1.284.788,2.471.600,0,5.998.222,6.515.502,5.764.495,4.946.753,2.154,3.202.404,2.729.781,2.897.333,2.645.691,"-0,01739769519","3,64374627","0,0543757468","0,06643131492","-0,04667898044",0,2.511.746,2.781.576,3.018.802,3.438.492,-41,466.232,108.579,133.822,-94.307,0,"47,3","52,7","50,3","52,6",-,2,"2,1","1,4","0,8",-,"0,4","0,3","0,3","0,4","-1,9","4,4","2,6",3,"0,3",-,-,7,"8,5","0,7",-,17,"24,5","30,7",14,-,"20,6","10,7","11,1","0,8",2.154,11.768.649,11.386.380,10.984.130,11.078.243,-14,-108.241,-399.028,1.438.227,835.002,7,-1.347.125,-2.289.780,-281.633,-457.826,0,1.546.236,2.129.138,-965.016,-394.377,-,-,-,-,-
Afluente T,ON,Bovespa,Ação,ativo,AFLT3,"Empresa de eletricidade, gás e água",-,55.097,60.834,68.628,55.111,70.441,152.686,215.111,232.091,234.675,272.316,6.964,5.118,20.564,16.720,17.993,13.360,18.040,19.423,18.917,71.852,187.459,247.518,260.732,254.149,252.912,"0,2965681224","1,582119363","0,594277562","0,4551319648","0,5394150749",35.930,120.319,72.058,67.307,85.999,18.709,99.808,37.490,28.712,34.029,"0,4","0,2","0,1",0,9,"7,9","5,9","3,3","3,3","3,9","10,2","9,6","7,4",8,"3,8",9,"36,2","12,5","9,9","9,9","9,3","45,9","14,8","11,2","13,4","53,4","85,8","53,2","44,8","50,7","52,1",83,52,"42,7","39,6",207.783,275.945,300.719,289.786,342.757,26.548,27.527,20.703,19.601,11.418,-1.100,-1.248,-1.911,-375,-1.434,-45.985,-39.869,-15.080,-37.621,-5.599,622.018,559.564,584.798,541.900,451.058
Agribrasil,ON,Bovespa,Ação,ativo,GRAO3,Agricultura,Sim,252.856,915.304,660.881,409.628,585.120,10.864,48.878,404.529,395.431,398.200,231.568,389.548,712.049,443.231,644.832,6.114,150.150,138.487,153.310,110.689,26.038,27.639,142.479,137.611,155.986,"0,263375","0,1036478409","1,351421796","0,02967664706","0,2914684552",1.368.190,2.184.137,3.993.829,2.092.686,2.191.955,23.177,9.121,117.960,2.694,26.436,24,"50,7","42,7","31,7","25,9","1,1","1,2","0,9","0,9","0,9","1,1",1,"0,8","0,7","0,8","8,8","0,9","11,1","0,1","2,8","169,5",34,"97,7","0,6","12,5","3,5","1,2","3,7","1,9","6,4","1,7","0,4",3,"0,1","1,2",263.720,964.182,1.065.410,805.059,983.320,60.475,-237.858,41.036,158.428,186.153,-678,-872,-100.975,-1.686,-865,35.669,414.387,-78.688,-239.620,-56.703,-,-,-,-,-
Agrogalaxy,ON,Bovespa,Ação,ativo,AGXY3,Atividades auxiliares à agricultura,Sim,3.206.373,5.405.111,8.207.602,5.553.467,-,1.054.492,1.369.799,1.702.891,2.160.549,-,3.110.584,3.987.621,7.190.670,6.147.186,-,130.133,440.392,1.218.357,430.168,-,1.015.667,1.458.744,1.485.032,1.113.385,-,"1,515002197","0,7741928909","0,1669779324","-2,234584853",-,2.630.908,6.580.618,11.592.510,9.399.096,-,81.492,118.338,27.957,-374.135,-,"21,3","20,5","20,8","21,3",-,1,"1,1","1,1","0,9",-,1,"1,1",1,1,-,"1,8","1,8","0,3","-4,8",-,"11,9","9,6","1,9","-27,8",-,"3,7","4,9","4,6","2,2",-,"2,9","1,8","0,2","-3,9",-,4.260.865,6.774.910,9.910.493,7.714.016,-,102.800,32.616,-144.106,83.488,-,-56.291,-131.959,-267.865,-346.606,-,156.676,441.800,846.283,-76.451,-,-,1.786.471,1.650.853,607.768,113.017
