nome,codigo,setor,lpa,lucro_liquido,divida_bruta_ativo,liquidez_corrente,liquidez_geral,rentabilidade_ativo,roe,margem_ebit,caixa_operacional,caixa_investimento,ano,pandemia,variacao_valor_mercado
Alliar,AALR3,Laboratório de exames médicos,-0.0477,-5.625,30.6,0.8,0.8,0.1,0.2,7.8,149.128,-105.698,2021,1,0.3421
Alliar,AALR3,Laboratório de exames médicos,-1.9347,-227.81,39.6,0.7,0.7,-8.4,-20.0,-3.0,187.303,-142.496,2022,1,0.4443
Alliar,AALR3,Laboratório de exames médicos,-1.9314,-227.878,39.2,0.7,0.6,-8.2,-22.7,3.3,102.304,-111.15,2023,0,-0.5174
Alliar,AALR3,Laboratório de exames médicos,-1.0926,-129.119,25.0,1.0,0.7,-4.1,-11.3,9.3,-41.021,142.409,2024,0,-0.177
Ambev S/A,ABEV3,Indústria de bebidas,0.8052,12670968.0,2.2,1.0,1.1,9.5,16.5,23.3,22900951.0,-7734882.0,2021,1,-0.0145
Ambev S/A,ABEV3,Indústria de bebidas,0.9184,14457943.0,2.7,0.9,1.1,10.8,17.8,22.2,20642153.0,-5004139.0,2022,1,-0.0582
Ambev S/A,ABEV3,Indústria de bebidas,0.9211,14501944.0,2.6,0.9,1.1,11.3,18.3,23.4,24711429.0,-5765984.0,2023,0,-0.0539
Ambev S/A,ABEV3,Indústria de bebidas,0.9174,14437238.0,2.1,1.1,1.2,9.1,16.5,24.4,26099035.0,-5463488.0,2024,0,-0.1461
Aeris,AERI3,"Indústria de motores, turbinas e transmissores de energia",1.8061,69.193,47.2,2.8,1.0,2.2,7.0,8.4,334.918,-394.388,2021,1,-0.3476
Aeris,AERI3,"Indústria de motores, turbinas e transmissores de energia",-2.4313,-92.709,48.1,1.9,1.0,-2.5,-9.8,8.6,-13.299,-87.108,2022,1,-0.9998
Aeris,AERI3,"Indústria de motores, turbinas e transmissores de energia",-2.6993,-106.567,42.2,1.6,1.0,-2.7,-10.5,9.3,-198.791,-65.896,2023,0,1303.1524
Aeris,AERI3,"Indústria de motores, turbinas e transmissores de energia",-15.2524,-934.083,65.8,0.5,0.6,-39.5,-138.9,-48.9,-460.059,-93.862,2024,0,-0.9997
Afluente T,AFLT3,"Empresa de eletricidade, gás e água",1.5821,99.808,0.2,5.9,9.6,36.2,45.9,85.8,27.527,-1.248,2021,1,-0.1004
Afluente T,AFLT3,"Empresa de eletricidade, gás e água",0.5943,37.49,0.1,3.3,7.4,12.5,14.8,53.2,20.703,-1.911,2022,1,0.0451
Afluente T,AFLT3,"Empresa de eletricidade, gás e água",0.4551,28.712,0.0,3.3,8.0,9.9,11.2,44.8,19.601,-375.0,2023,0,-0.0734
Afluente T,AFLT3,"Empresa de eletricidade, gás e água",0.5394,34.029,9.0,3.9,3.8,9.9,13.4,50.7,11.418,-1.434,2024,0,-0.1676
Brasilagro,AGRO3,Agricultura,7.5113,407.208,21.7,3.0,2.9,18.5,37.4,41.7,252.001,-194.268,2021,1,0.9387
Brasilagro,AGRO3,Agricultura,1.4344,29.121,26.2,2.0,2.3,-3.3,-4.9,15.4,102.808,-116.438,2022,1,0.0366
Brasilagro,AGRO3,Agricultura,2.6618,24.163,31.9,2.3,2.3,8.0,13.1,18.7,182.663,-88.074,2023,0,-0.1012
Brasilagro,AGRO3,Agricultura,2.7943,77.832,31.7,1.7,2.0,7.1,13.4,28.6,106.631,-43.011,2024,0,-0.1463
Agrogalaxy,AGXY3,Atividades auxiliares à agricultura,0.7742,118.338,20.5,1.1,1.1,1.8,9.6,4.9,32.616,-131.959,2021,1,1.0785
Agrogalaxy,AGXY3,Atividades auxiliares à agricultura,0.167,27.957,20.8,1.1,1.0,0.3,1.9,4.6,-144.106,-267.865,2022,1,-0.0759
Agrogalaxy,AGXY3,Atividades auxiliares à agricultura,-2.2346,-374.135,21.3,0.9,1.0,-4.8,-27.8,2.2,83.488,-346.606,2023,0,-0.9996
Agrogalaxy,AGXY3,Atividades auxiliares à agricultura,0.0554,-36.587,20.975,1.025,1.025,-0.225,-1.1,3.85,18.6995,-200.6802,2024,0,-0.814
SPturis,AHEB3,Outros serviços de apoio,-8.7354,-74.618,0.0,1.0,0.3,-23.8,2.2241,-24.8,-25.842,-2.146,2021,1,0.2056
SPturis,AHEB3,Outros serviços de apoio,7.5783,64.734,1.5,1.2,0.4,19.5,-1.6947,27.2,24.858,-5.723,2022,1,-0.2722
SPturis,AHEB3,Outros serviços de apoio,10.0596,85.929,0.9,2.0,0.7,19.1,2.2958,20.1,12.371,-227.0,2023,0,-0.2247
SPturis,AHEB3,Outros serviços de apoio,17.5878,150.235,0.8,4.6,1.1,27.0,92.5,20.1,34.676,-2.123,2024,0,1.4746
Allied,ALLD3,Loja de utensílios eletrônicos,3.2385,288.231,8.7,1.4,1.2,6.4,21.8,7.1,124.219,-36.314,2021,1,2.9952
Allied,ALLD3,Loja de utensílios eletrônicos,0.8168,76.146,17.1,1.7,1.3,2.1,5.1,4.0,2100537.0,-14.34,2022,1,-0.9996
Allied,ALLD3,Loja de utensílios eletrônicos,1.3135,122.444,16.0,2.0,1.4,3.6,7.9,3.7,2110635.0,-6.747,2023,0,0.2563
Allied,ALLD3,Loja de utensílios eletrônicos,1.5542,145.532,14.5,1.8,1.4,4.2,9.1,3.4,1299080.0,-8.831,2024,0,-0.0785
Allos,ALOS3,Locadora de imóveis,1.0372,274.868,0.0,2.4,0.6,2.9,4.1,52.3,600.245,-309.219,2021,1,-0.2569
Allos,ALOS3,Locadora de imóveis,0.5872,155.875,0.0,3.2,0.8,1.8,2.8,42.3,929.733,-1387546.0,2022,1,-0.2128
Allos,ALOS3,Locadora de imóveis,5.9644,3386958.0,0.0,1.8,0.3,12.6,30.4,199.6,1441890.0,359.54,2023,0,2.2485
Allos,ALOS3,Locadora de imóveis,1.2953,698.511,0.0,1.9,0.4,3.0,5.6,53.0,1679910.0,87.783,2024,0,-0.3751
Alpargatas,ALPA3,Indústria de calçados,1.1911,689.608,1.4,0.8,0.8,8.6,21.4,15.7,787.284,-685.774,2021,1,-0.1559
Alpargatas,ALPA3,Indústria de calçados,0.1839,121.462,15.0,2.5,1.5,1.3,2.4,4.8,-638.181,-2796457.0,2022,1,-0.5346
