Nome,Classe,Bolsa / Fonte,Tipo de Ativo,"Ativo /
Cancelado",Código,"DivPag
 < Dez 2020
 Em moeda orig
 em milhares
 no exercício
 consolid:sim*","DivPag
 < Dez 2021
 Em moeda orig
 em milhares
 no exercício
 consolid:sim*","DivPag
 < Dez 2022
 Em moeda orig
 em milhares
 no exercício
 consolid:sim*","DivPag
 < Dez 2023
 Em moeda orig
 em milhares
 no exercício
 consolid:sim*","DivPag
 < Dez 2024
 Em moeda orig
 em milhares
 no exercício
 consolid:sim*"
3tentos,ON,Bovespa,Ação,ativo,TTEN3,-28.250,-25.721,-7.595,-57.238,-58.411
524 Particip,ON,Bovespa,Ação,ativo,QVQP3,0,0,0,0,0
Abc Brasil,PN,Bovespa,Ação,ativo,ABCB4,-107.371,-200.651,-309.801,-360.087,-12.708
Aco Altona,ON,Bovespa,Ação,ativo,EALT3,-2.464,-9.142,0,0,0
Aco Altona,PN,Bovespa,Ação,ativo,EALT4,-2.464,-9.142,0,0,0
Aeris,ON,Bovespa,Ação,ativo,AERI3,-106.513,0,-15.781,0,0
Aesoperacoes,ON,Bovespa,Ação,ativo,AESO3,0,-133.610,-719.676,-216.955,-100.000
Afluente T,ON,Bovespa,Ação,ativo,AFLT3,-45.477,-39.668,-14.879,-37.420,-35.465
Agribrasil,ON,Bovespa,Ação,ativo,GRAO3,-1.368,-9.441,-2.090,-684,0
Agrogalaxy,ON,Bovespa,Ação,ativo,AGXY3,0,0,-27.968,-4.672,0
Alfa Holding,ON,Bovespa,Ação,ativo,RPAD3,-7.109,-7.357,-7.722,-7.769,-8.198
Alfa Holding,PNA,Bovespa,Ação,ativo,RPAD5,-7.109,-7.357,-7.722,-7.769,-8.198
Alfa Holding,PNB,Bovespa,Ação,ativo,RPAD6,-7.109,-7.357,-7.722,-7.769,-8.198
Aliperti,ON,Bovespa,Ação,ativo,APTI3,0,0,0,0,-1.089
Aliperti,PN,Bovespa,Ação,ativo,APTI4,0,0,0,0,-1.089
All Norte,ON,Bovespa,Ação,ativo,FRRN3B,-511.477,-956.917,-900.248,-117,-915.240
All Norte,PNA,Bovespa,Ação,ativo,FRRN5B,-511.477,-956.917,-900.248,-117,-915.240
All Norte,PNB,Bovespa,Ação,ativo,FRRN6B,-511.477,-956.917,-900.248,-117,-915.240
Alliar,ON,Bovespa,Ação,ativo,AALR3,-6.347,0,-2.023,0,-382
Allied,ON,Bovespa,Ação,ativo,ALLD3,-937,-113.861,-51.342,-32.995,-189.960
Allos,ON,Bovespa,Ação,ativo,ALOS3,0,-60.000,-101.979,-292.894,-914.573
Alpargatas,ON,Bovespa,Ação,ativo,ALPA3,-30.207,-148.590,-89.283,-23,-18
Alpargatas,PN,Bovespa,Ação,ativo,ALPA4,-30.207,-148.590,-89.283,-23,-18
Alphaville,ON,Bovespa,Ação,ativo,AVLL3,0,0,0,0,0
Alupar,ON,Bovespa,Ação,ativo,ALUP3,-655.655,-879.174,-1.063.689,-1.113.386,-951.952
Alupar,PN,Bovespa,Ação,ativo,ALUP4,-655.655,-879.174,-1.063.689,-1.113.386,-951.952
Alupar,UNT N2,Bovespa,Ação,ativo,ALUP11,-655.655,-879.174,-1.063.689,-1.113.386,-951.952
Amazonia,ON,Bovespa,Ação,ativo,BAZA3,-106.393,-77.037,-203.134,-311.492,-370.968
Ambev S/A,ON,Bovespa,Ação,ativo,ABEV3,-6.850.271,-11.115.251,-12.242.324,-11.921.949,-4.056.383
Ambipar,ON,Bovespa,Ação,ativo,AMBP3,-2.100,-8.822,-24.136,-27.254,-30.592
Americanas,ON,Bovespa,Ação,ativo,AMER3,0,0,-333.205,0,0
Ampla Energ,ON,Bovespa,Ação,ativo,CBEE3,-66.295,-24,-29,0,0
