setor,grupo
setor_abatedouros,Manufatura e Indústria
setor_administracao_de_empresas_e_empreendimentos,Serviços Profissionais
setor_agricultura,Agricultura
setor_apresentacoes_artisticas,Entretenimento e Lazer
setor_atividades_auxiliares_ao_transporte,Transporte e Logística
setor_atividades_auxiliares_ao_transporte_aquatico,Transporte e Logística
setor_atividades_auxiliares_ao_transporte_rodoviario,Transporte e Logística
setor_atividades_auxiliares_a_agricultura,Agricultura
setor_atividades_relacionadas_a_imoveis,Imobiliário
setor_atividades_relacionadas_a_intermediacao_de_credito,Finanças e Seguros
setor_bancos,Finanças e Seguros
setor_bolsa_de_valores_e_commodities,Finanças e Seguros
setor_comercio_atacadista_de_bens_duraveis,Comércio e Varejo
setor_comercio_atacadista_de_bens_nao_duraveis_variados,Comércio e Varejo
setor_comercio_atacadista_de_maquinas_equipamentos_e_acessorios,Comércio e Varejo
setor_comercio_atacadista_de_petroleo_e_produtos_de_petroleo,Comércio e Varejo
setor_comercio_atacadista_de_remedios,Comércio e Varejo
setor_comercio_eletronico_e_corretores,Comércio e Varejo
setor_concessionarias_de_outros_veiculos_motorizados,Comércio e Varejo
setor_construcao,Construção
setor_construcao_de_edificios_residenciais,Construção
setor_consultoria_administrativa_cientifica_e_tecnica,Serviços Profissionais
setor_consultorio_odontologico,Saúde
setor_corretora_de_seguros,Finanças e Seguros
setor_criacao_de_aves_e_ovos,Outros
setor_distribuicao_de_gas_natural,Energia e Mineração
setor_editoras_de_software,Tecnologia e Informação
setor_educacao,Educação
setor_empresa_de_eletricidade_gas_e_agua,Energia e Mineração
setor_escola_de_ensino_superior,Outros
setor_estaleiros,Outros
setor_extracao_de_petroleo_e_gas,Energia e Mineração
setor_forjarias_e_estamparias,Outros
setor_fundicao,Outros
setor_geracao_transmissao_e_distribuicao_de_energia_eletrica,Energia e Mineração
setor_hospital,Saúde
setor_hotel_motel_ou_similar,Outros
setor_impressao_e_atividades_auxiliares,Outros
setor_industria_de_maquinas_agricolas_de_construcao_e_mineracao,Manufatura e Indústria
setor_industria_de_artigos_de_limpeza,Manufatura e Indústria
setor_industria_de_autopecas,Manufatura e Indústria
setor_industria_de_bebidas,Manufatura e Indústria
setor_industria_de_calcados,Manufatura e Indústria
setor_industria_de_carrocerias_e_trailers,Manufatura e Indústria
setor_industria_de_computadores_e_perifericos,Manufatura e Indústria
setor_industria_de_eletrodomesticos,Manufatura e Indústria
setor_industria_de_equipamentos_aeroespacias,Manufatura e Indústria
setor_industria_de_equipamentos_de_comunicacao,Manufatura e Indústria
setor_industria_de_equipamentos_de_refrigeracao,Manufatura e Indústria
setor_industria_de_equipamentos_e_materiais_para_uso_medico,Manufatura e Indústria
setor_industria_de_estruturas_metalicas,Manufatura e Indústria
setor_industria_de_ferragens,Manufatura e Indústria
setor_industria_de_ferramentas_de_metal_nao_motorizadas_e_cutelaria,Manufatura e Indústria
setor_industria_de_fertilizantes_e_pesticidas,Manufatura e Indústria
setor_industria_de_frutas_e_vegetais_em_conserva_e_comidas_especiais,Manufatura e Indústria
setor_industria_de_molas_e_produtos_de_arame,Manufatura e Indústria
setor_industria_de_motores_turbinas_e_transmissores_de_energia,Manufatura e Indústria
setor_industria_de_maquinas_industriais,Manufatura e Indústria
setor_industria_de_moveis_e_afins,Manufatura e Indústria
setor_industria_de_outros_equipamentos_de_transporte,Manufatura e Indústria
setor_industria_de_outros_produtos_de_minerais_nao_metalicos,Manufatura e Indústria
setor_industria_de_outros_tipos_de_maquinas,Manufatura e Indústria
setor_industria_de_papel_celulose_e_papelao,Manufatura e Indústria
setor_industria_de_produtos_de_ceramica_e_refratarios,Manufatura e Indústria
setor_industria_de_produtos_de_madeira_compensada_e_afins,Manufatura e Indústria
setor_industria_de_produtos_de_papel_e_papelao,Manufatura e Indústria
setor_industria_de_produtos_de_petroleo_e_carvao,Manufatura e Indústria
setor_industria_de_produtos_de_plastico,Manufatura e Indústria
setor_industria_de_remedios,Manufatura e Indústria
setor_industria_de_roupas_de_tecido,Manufatura e Indústria
setor_industria_quimica,Manufatura e Indústria
setor_laboratorio_de_exames_medicos,Saúde
setor_locadora_de_automoveis,Outros
